Source,Paper Title,Author,Year,Empirical Data?,Subsidy Category,Resource Subsidy,Vector (taxon or phenomenon) Group,Specific Vector,Biotic or Abiotic?,Recipient taxon or habitat,Subgroups Yes,Ecotone/Ecosystem Boundary,Climate Zone,Mediterannean Yes,Continent,Country,Lat/Lon,Experimental Component Yes,Start Year,End Year,Your Initials
Mulder,"Indirect effects of invasive predators on plant litter quality, decomposition, and nutrient resorption on seabird-dominated islands","Wardle, D.A., et al",2009,Yes,,N and P,Seabirds,R. rnorvegious,Biotic,Plants,Yes,Marine - Terrestrial,Temperate,No,Oceania,New Zealand,"-38.4000, 175.7167",No,2004,2004,KH
MacInturf,Individual consumer movement mediates food web coupling across a coastal ecosystem,Rezek et al.,2020,,,,,,,,,,,,,,,,,,
Seabird Chapter,Influence of diet on the distribution of nitrogen isotopes in animals,"DeNiro, M.J. and S. Epstein",1981,Yes,,Nitrogen,Varied,Unspecified,Abiotic,Various Animals,No,Marine - Terrestrial,Desert,No,North America,Mexico,"18.466506, -97.400380",Yes,Not Specified,Not Specified,KH
Seabird Chapter,Influence of pulsed resources and marine subsidies on insular rodent populations,"Stapp, P. and G.A. Polis",2003,Yes,seabird guano,C and N (from guano),Seabirds,Unspecified,Biotic,Rodents (C. rudinoris and P. maniculatus),Yes,Marine - Terrestrial,Arid/Mediteranean,Yes,North America,Mexico,"28.916667, -113.500000",No,1997,2001,KH
MacInturf,Insects as drivers of ecosystem processes,"Yang, Gratton",2014,No,,,,,,,,,,,,,,,,,JB
Subalusky,Inter-annual variation in responses of water chemistry and epilithon to Pacific salmon spawners in an Alaskan stream,Chaloner et al.,2007,Yes,,Salmon derived nutrients,Fish,Pacific salmon,Biotic,Stream water chemistry,Yes,Marine - Freshwater,Mid-latitude oceanic,No,North America,United States,"58.3, -134.6",Yes,2000,2005,FL
Subalusky,Inter-annual variation in responses of water chemistry and epilithon to Pacific salmon spawners in an Alaskan stream,Chaloner et al.,2007,Yes,,Salmon derived nutrients,Fish,Pacific salmon,Biotic,Stream epilithon,,Marine - Freshwater,Mid-latitude oceanic,No,North America,United States,"58.3, -134.7",Yes,2000,2005,FL
Seabird Chapter,"Interactions of nutrients, plant growth and herbivory in a mangrove ecosystem","Onuf, C.P., et al",,Yes,,Nutrients,Mangrove,Rhizophora mangle,Biotic,Environment,No,Marine - Terrestrial,Tropical,No,North America,USA,"27.450000, -80.333333",No,1974,1975,KH
Subalusky,Invasive aquarium fish transform ecosystem nutrient dynamics,Capps and Flecker,2013,Yes,,"Invasive Sailfin Catfish (N, C, P)",Fish,Invasive sailfin catfish,Biotic,River,No,Freshwater - Freshwater,Tropical,No,North America,Mexico,"17.5, -92.0",Yes,2008,2010,FL
Subalusky,Invasive Fishes Generate Biogeochemical Hotspots in a Nutrient-Limited System,Capps and Flecker,2013,Yes,,"Invasive Sailfin Catfish (N, C, P)",Fish,Invasive sailfin catfish,Biotic,River,No,Freshwater - Freshwater,Tropical,No,North America,Mexico,"17.5, -92.1",Yes,2008,2010,FL
Mulder,Invasive rats alter woody seedling composition on seabird-dominated islands in New Zealand,"Grant-Hoffman, M.N., et al",2010,Yes,,Plants,Seabirds,Unspecified,Biotic,Rattus rattus,Yes,Marine - Terrestrial,Subtropical,No,Oceania,New Zealand,"-36.95, 176.09",No,2004,2005,KH
Mulder,Invasive rats alter woody seedling composition on seabird-dominated islands in New Zealand,"Grant-Hoffman, M.N., et al",2010,Yes,,Plants,Seabirds,Unspecified,Biotic,R. norvegicus,Yes,Marine - Terrestrial,Subtropical,No,Oceania,New Zealand,"-36.95, 176.10",No,2004,2005,KH
Mulder,Invasive rats alter woody seedling composition on seabird-dominated islands in New Zealand,"Grant-Hoffman, M.N., et al",2010,Yes,,Plants,Seabirds,Unspecified,Biotic,R. exulans,Yes,Marine - Terrestrial,Subtropical,No,Oceania,New Zealand,"-36.95, 176.11",No,2004,2005,KH
Seabird Chapter,"Invertebrate and lizard abundance is greater on seabird-inhabited islands than on seabird-free islands in the Marlborough Sounds, New Zealand","Markwell, T.J. and C.H. Daugherty",2002,Yes,,Nutrients,Seabirds,Unspecified,Biotic,Reptile,Yes,Marine - Terrestrial,Oceanic,No,Oceania,New Zealand,"-40.666667, 174.000000",Yes,1995,1996,KH
Seabird Chapter,"Invertebrates in ornithogenic soils on Ross Island, Antarctica","Porazinska, D.L., et al",2002,Yes,,Organic C,Invertebrates,Various Nematodes,Abiotic and Biotic,Soil biotic communities,No,Terrestrial - Terrestrial,Arctic,No,Antarctica,Ross Island,"77.216667, -166.433333",No,1990,1997,KH
Subalusky,Iron defecation by sperm whales stimulates carbon export in the Southern Ocean,Lavery et al.,2010,No,,,,,,,,,,,,,,,,,FL
Subalusky,Juvenile coho salmon (Oncorhynchus kisutch) responses to salmon carcasses and in-stream wood manipulations during winter and spring,Giannico and Hinch,2007,Yes,,In-stream wood,Wood,"Twigs, logs, branches (Red alder and western redcedar)",Biotic,Juvenile coho salmon,,Terrestrial - Freshwater,Oceanic,Yes,North America,Canada,"49.7, -124",Yes,1996,1998,FL
MacInturf,Keystone Interactions: Salmon and Bear in Riparian Forests of Alaska,"Helfield, Naiman",2006,Yes,,Nitrogen,Fish,Pacific Salmon,Biotic,Bear,Yes,Freshwater - Terrestrial,Maritime with Moderate Temperatures,No,North America,USA,"59.29, -158.55",No,Not Specified,Not Specified,JB
MacInturf,Keystone Interactions: Salmon and Bear in Riparian Forests of Alaska,"Helfield, Naiman",2006,Yes,,Nitrogen,Fish,Pacific Salmon,Biotic,Riparian Foliage/Soil,Yes,Freshwater - Terrestrial,Maritime with Moderate Temperatures,No,North America,USA,"59.29, -158.56",No,Not Specified,Not Specified,JB
MacInturf,Kodiak brown bears surf the salmon red wave: direct evidence from GPS collared individuals,Deacy et al.,2016,No,,,,,,,,,,,,,,,,,JB
Subalusky,Large herbivores and aquatic–terrestrial links in southern boreal forests,Bump et al.,2009,Yes,,Moose excretions (N),Mammal,Moose excretion,Biotic,Terrestrial plants,No,Freshwater - Terrestrial,Boreal forest,No,North America,United States,"48.0, -88.9",No,1958,2006,FL
MacInturf,Large predators can mitigate nutrient losses associated with off-site removal of animals from a wildlife reserve,Abraham et al.,2021,No,,,,,,,,,,,,,,,,,
Subalusky,Lateral diffusion of nutrients by mammalian herbivores in terrestrial ecosystems.,"Wolf, Doughty, and Malhi",2013,No,,,,,,,,,,,,,,,,,
Mulder,"Leaf life-span in relation to leaf, plant and stand characteristics among diverse ecosystems","Reich, P.B., et al",1992,No,,,,,,,,,,,,,,,,,
Subalusky,"Leaves as “crackers”, biofilm as “peanut butter”: Exploratory use of stable isotopes as evidence for microbial pathways in detrital food webs",France,2011,,,Cannot access paper,,,,,,,,,,,,,,,FL
Subalusky,Linkages between Terrestrial and Aquatic Ecosystems,Likens and Bormann,1974,No,,,,,,,,,,,,,,,,,FL
Seabird Chapter,"Linking aphid honeydew, throughfall, and forest floor solution chemistry of Norway spruce","Stadler, B and B. Michalzik",1998,Yes,seabird guano,C and N,Trees,Aphid,Biotic,Norway spruce trees,No,Terrestrial - Terrestrial,Temperate,No,Europe,Germany,"49.9983, 11.9932",Yes,N/A,N/A,KH
Mulder,Linking marine and terrestrial food webs: Allochthonous input from the ocean supports high secoondary productivity on small islands and coastal land communities,"Polis, G.A. and S.D. Hurd",1996,Yes,wrack,Plants and Guano,Seabirds,Unspecified,Biotic,Soil,No,Marine - Terrestrial,Mediterranean/arid,Yes,North America,Mexico,"28.916667, -113.500000",No,1990,1995,KH
Subalusky,Longitudinal and seasonal pattern of insect emergence in alpine streams,Füreder et al.,2005,Yes,,Emerging aquatic insects,Insect,Aquatic insects,Biotic,Surrounding land,No,Freshwater - Terrestrial,Tundra,No,Europe,Austria,"47.0, 11.0",Yes,1996,1998,FL
Subalusky,Low-to-moderate nitrogen and phosphorus concentrations accelerate microbially driven litter breakdown rates,Kominoski et al.,2015,Yes,,"Plant litter (C, N, P)",Plant,Maple & rhododendron leaf litter,Biotic,Stream,No,Terrestrial - Freshwater,Humid subtropical (water in tanks),No,North America,United States,"35.1, -83.4",Yes,2011,2011,FL
Subalusky,Mainstem-tributary linkages by mayfly migration help sustain salmonids in a warming river network,Uno and Power,2015,Yes,emerging insects,Migratory mayflies,Insect,Spiny crawler mayfly,Biotic,Steelhead trout,No,Terrestrial - Freshwater,Mediterranean,Yes,North America,United States,"39.7, -123.6",Yes,2012,2014,FL
Subalusky,"Mammals, freshwater reference states, and the mitigation of climate change.",Moss,2015,No,,,,,,,,,,,,,,,,,FL
Seabird Chapter,"Marine birds on land: a review of plant biomass, species richness, and community composition in seabird colonies","Ellis, J.C.",2005,No,,,,,,,,,,,,,,,,,
Subalusky,Marine resource flows to terrestrial arthropod predators on a temperate island: the role of subsidies between systems of similar productivity,Paetzold et al.,2008,Yes,,"Shore drift stranding (C, N)",Shore drift,Shore drift (marine detritus),Abiotic,Island,No,Marine - Terrestrial,Warm temperate,No,North America,United Sates,"41.2, -72.6",Yes,2003,2004,FL
Subalusky,"Marine resources subsidize insular rodent populations in the Gulf of California, Mexico",Stapp and Polis,2003,Yes,,Littoral and Supralittoral Invertebrates,,amphipods/isopods/mollusks,biotic,Peromyscus maniculatus,No,Marine - Terrestrial,Desert Island,No,North America,Mexico,28.916667/-113.5,No,1995,1997,ZZ
Seabird Chapter,Marine subsidies alter the diet and abundance of insular and coastal lizard populations,"Barrett, K.",2005,No,,,,,,,,,,,,,,,,,KH
Subalusky,Marine subsidies have multiple effects on coastal food webs.,Spiller et al,2010,Yes,,Seaweed,Arthropod detritovores,Tethorchestia spp.,biotic,Anolis sagrei,No,Marine - Terrestrial,Tropical Island,No,North America,Bahamas,23.619300/ -75.969500,Yes,2006,2006,ZZ
Subalusky,Marine Subsidies in Freshwater: Effects of Salmon Carcasses on Lipid Class and Fatty Acid Composition of Juvenile Coho Salmon,Heintz et al.,2004,Yes,,"Salmon carcasses (lipids, fatty acids)",Fish,Pink salmon carcasses,Biotic,Juvenile coho salmon,No,Marine - Freshwater,Artificial streams from unknown stream,No,North America,United States,"56.4, -134.7",Yes,1998,1998,FL
MacInturf,Marine-Dependent Terrestrial Biotic Communities on Some Cays in the Coral Sea,Harold Heatwole,1971,No,,,,,,,,,,,,,,,,,
Subalusky,"Marine-derived nutrients, bioturbation, and ecosystem metabolism: reconsidering the role of salmon in streams",Holtgrieve and Schindler,2011,Yes,,"Spawning pacific salmon (N, P, O)",Fish,Spawning pacific salmon,Biotic,Stream,No,Marine - Freshwater,Subarctic oceanic,No,North America,United States,"59.3, -158.6",Yes,2002,2009,FL
Subalusky,Mass invariance of population nitrogen flux by terrestrial mammalian herbivores: an extension of the energetic equivalence rule,Habeck and Meehan,2008,No,,,,,,,,,,,,,,,,,FL
Subalusky,"Mechanisms of Coexistence in Vultures: Understanding the Patterns of Vulture Abundance at Carcasses in Masai Mara National Reserve, Kenya",Kendall et al.,2012,Yes,,Migratory ungulate carcasses,Mammal,"Mostly zebra, wildebeest, gazelle, buffalo",Biotic,Vultures,No,Terrestrial - Terrestrial,Semi-arid,No,Africa,Kenya,"-1.37, 34.9",Yes,1997,2006,FL
Mulder,Mechanisms of posiitive biodiversity-production relationships: insight provided by 13C analysis in experimental Mediterranean grassland plots,"Caldeira, M.C., et al",2001,Yes,seabird guano,Carbon and Water,Plants,Unspecified,Biotic,Soil,No,Terrestrial - Terrestrial,Mediterranean,Yes,Europe,Portugal,"38.766667, -8.633333",No,1996,1998,KH
Subalusky,Megafauna and ecosystem function from the Pleistocene to the Anthropocene,Malhi et al.,2016,No,,,,,,,,,,,,,,,,,FL
Seabird Chapter,"Meta-analysis: Trophic level, habitat, and productivity shape the food web effects of resource subsidies","Marczak, L.B., et al.",2007,No,,,,,,,,,,,,,,,,,
MacInturf,Meta-ecosystems and biological energy transport from ocean to coast: the ecological importance of herring migration,Varpe et al.,2005,No,,,,,,,,,,,,,,,,,JB
Subalusky,Metabolic stoichiometry and the ecology of fear in Trinidadian guppies: consequences for life histories and stream ecosystems,Dalton and Flecker,2014,Yes,,N excretion by guppies (influenced by predator presence),Fish,Guppies (Poecilia reticulata),Biotic,Streams,No,Freshwater - Freshwater,Caught in Tropical and raised in tanks,No,South America,Trinidad and Tobago,"10.7, -61.2 (catching location)",Yes,2011,<2014,FL
Subalusky,Metabolic theory and taxonomic identity predict nutrient recycling in a diverse food web,Allgeier et al.,2015,Yes,,N and P,Fish and macroinvertebrates,Hundreds of species,Biotic,N/A,No,n/a,Tropical savanna,No,North America,The Bahamas,"26.4, -77.1",Yes,2008,2011,FL
Subalusky,Migrating haemulid fishes as a source of nutrients and organic matter on coral reefs1,Meyer and Schultz,1985,Yes,,"French & white grunt excretion (N, P, C, calories)",Fish,French & white grunts,Biotic,Coral reef colonies,No,Marine - Marine,Tropical wet savanna (in ocean),No,North America,United States,"17.8, -64.6",Yes,1980,1981,FL
Subalusky,Migration impacts on communities and ecosystems: empirical evidence and theoretical insights. In Animal Migration: A Synthesis,Holdo et al.,2011,No,,,,,,,,,,,,,,,,,FL
MacInturf,Migratory animals couple biodiversity and ecosystem functioning worldwide,"Bauer, Hoye",2014,No,,,,,,,,,,,,,,,,,
Subalusky,Migratory fish excretion as a nutrient subsidy to recipient stream ecosystem,Wheeler et al,2014,Yes,,Fish Excreted N and P,fish,Oncorhynchus clarkii utah,Biotic,Tributaries,No,Freshwater - Freshwater,Temperate,No,North America,USA,"40.1718288,-111.1294996",No,2011,2012,ZZ
Subalusky,Migratory fish excretion as a nutrient subsidy to recipient stream ecosystem,Wheeler et al,2014,Yes,,Fish Excreted N and P,fish,Oncorhynchus nerka,Biotic,Tributaries,No,Freshwater - Freshwater,Temperate,No,North America,USA,"40.1718288,-111.1294996",No,2011,2012,ZZ
Subalusky,Migratory Fishes as Material and Process Subsidies in Riverine Ecosystems,Flecker et al.,2010,No,,,,,,,,,,,,,,,,,FL
Subalusky,Mobile Link Organisms and Ecosystem Functioning: Implications for Ecosystem Resilience and Management,Lundberg and Moberg,2003,No,,,,,,,,,,,,,,,,,FL
Subalusky,Mobile scavengers create hotspots of freshwater productivity,Payne and Moore,2006,Yes,,"Spawning pacific salmon (N, C)",Fish,Pacific salmon,Biotic,Mobile avian scavengers (gulls),No,Marine - Terrestrial,Subarctic,No,North America,United States,"59.5, -158.8",Yes,Unspecified,Unspecified,FL
Subalusky,Modelling nutrient transport and transformation by pool-breeding amphibians in forested landscapes using a 21-year dataset,Capps et al.,2015,Yes,,"N, C, P",Amphibian,Wood frog juveniles,Biotic,Terrestrial habitats,,Freshwater - Terrestrial,Deciduous forest,No,North America,United States,"42.7, -83.3",Yes,1985,2005,FL
Subalusky,Modelling nutrient transport and transformation by pool-breeding amphibians in forested landscapes using a 21-year dataset,Capps et al.,2015,Yes,,"Pool-breeding amphibian eggs (N, C, P)",Amphibian,Wood frog eggs,Biotic,Aquatic habitats,Yes,Terrestrial - Freshwater,Deciduous forest,No,North America,United States,"42.7, -83.2",Yes,1985,2005,FL
Subalusky,Modification of Ecosystems by Ungulates,Hobbs,1996,No,,,,,,,,,,,,,,,,,FL
Subalusky,Mortality hotspots: Nitrogen cycling in forest soils during vertebrate decomposition,Keenan et al.,2018,Yes,,Vertebrate decomposition (N),Mammal,North American beaver,Biotic,Forest soil,No,Terrestrial - Terrestrial,Humid subtropical,No,North America,United States,"36.0, -84.2",Yes,2016,2016,FL
Subalusky,Moving in the Anthropocene: global reductions in terrestrial mammalian movements,Tucker et al,2018,Yes,,No relation to subsidies (GPS-tracked movement of animals and relation to human footprint),,,,,,,,,,,,,,,FL
Subalusky,Multiple nutrient subsidy pathways from a spawning migration of iteroparous fish,Childress and McIntyre,2015,Yes,,"Suckers (Catostomidae) (N, P)",Iteroparous fish,Suckers (Catostomidae),Biotic,Stream,,Freshwater - Freshwater,Humid continental,No,North America,United States,"45.7, -86.9 and 45.8, -86.11",Yes,2009,2009,FL
Mulder,N and P in New Zealand soil chronosequences and relationships with foliar N and P.,"Parfitt, R.L., et al",2005,Yes,,N and P,Human activity,"Fertilizer, atmosphere",Biotic,Soil,No,Terrestrial - Terrestrial,Temperate,No,Oceania,New Zealand,"-38.000000, 176.000000",No,2001,2002,KH
Mulder,N and P in New Zealand soil chronosequences and relationships with foliar N and P.,"Parfitt, R.L., et al",2005,Yes,,N and P,Human activity,"Fertilizer, atmosphere",Biotic,Soil,No,Terrestrial - Terrestrial,Temperate,No,Oceania,New Zealand,"-43.230000, 170.110000",No,2001,2002,KH
Mulder,N and P in New Zealand soil chronosequences and relationships with foliar N and P.,"Parfitt, R.L., et al",2005,Yes,,N and P,Human activity,"Fertilizer, atmosphere",Biotic,Soil,No,Terrestrial - Terrestrial,Temperate,No,Oceania,New Zealand,"-46.120000, 167.050000",No,2001,2002,KH
Mulder,N and P in New Zealand soil chronosequences and relationships with foliar N and P.,"Parfitt, R.L., et al",2005,Yes,,N and P,Human activity,"Fertilizer, atmosphere",Biotic,Soil,No,Terrestrial - Terrestrial,Temperate,No,Oceania,New Zealand,"-42.070000, 171.520000",No,2001,2002,KH
MacInturf,"Nest spacing, reproductive success, and behavior of the Great Black-backed Gull (Larus marinus)",Butler and Trivelpiece,1981,No,,,,,,,,,,,,,,,,,
Mulder,Nitrogen and carbon isotope ratios in seabird rookeries and their ecological implications,"Mitzutani, H. and E. Wada",1988,Yes,,Nitrogen and Carbon,Seabirds,Black-tailed Gull,Biotic,Soil and other Birds,Yes,Marine - Terrestrial,Temperate,No,Asia,Japan,"40.536667, 141.561389",No,1980,1986,KH
Mulder,Nitrogen and carbon isotope ratios in seabird rookeries and their ecological implications,"Mitzutani, H. and E. Wada",1988,Yes,,Nitrogen and Carbon,Seabirds,Black-tailed Gull,Biotic,Soil and other Birds,Yes,Marine - Terrestrial,Temperate,No,Asia,Japan,"35.080000, 132.325833",No,N/A,N/A,KH
Mulder,Nitrogen and carbon isotope ratios in seabird rookeries and their ecological implications,"Mitzutani, H. and E. Wada",1988,Yes,,Nitrogen and Carbon,Seabirds,Adelie Penguin,Biotic,Soil and other Birds,Yes,Marine - Terrestrial,Polar,No,Antarctica,Ross Island,"-77.200000, 166.466667",No,1981,1981,KH
Mulder,Nitrogen and carbon isotope ratios in seabird rookeries and their ecological implications,"Mitzutani, H. and E. Wada",1988,Yes,,Nitrogen and Carbon,Seabirds,Albatross,Biotic,Soil and other Birds,Yes,Marine - Terrestrial,Temperate,No,Asia,Japan,"30.483333, 140.300000",No,N/A,N/A,KH
Mulder,Nitrogen and phosphorus enrichment and balance in forests colonized by cormorants: Implications of the influence of soil adsoption,"Hobara, S. T. Osono, et al",2005,Yes,,N and P,Birds,Unspcecied,Biotic,Soil,Yes,Marine - Terrestrial,Temperate,No,Asia,Japan,"35.200000, 136.083333",No,1998,2000,KH
Mulder,Nitrogen and phosphorus enrichment and balance in forests colonized by cormorants: Implications of the influence of soil adsoption,"Hobara, S. T. Osono, et al",2005,Yes,,N and P,Birds,Unspcecied,Biotic,Soil,Yes,Marine - Terrestrial,Temperate,No,Asia,Japan,"35.416667, 136.150000",No,1998,2000,
Mulder,Nitrogen and phosphorus fate from long -term poultry litter applications to Oklahoma soils,"Sharpley, A.N. et al",1993,Cannot find paper,,,,,,,,,,,,,,,,,
Mulder,"Nitrogen excess in North American ecosystems: predisposing factors, ecosystem responses, and management strategies","Fenn, M.E., et al",1998,No,,,,,,,,,,,,,,,,,
MacInturf,"Nitrogen in the Gulf of Maine: Sources, Susceptibility and Trends",Sowles J.,2001,No,,,,,,,,,,,,,,,,,JB
Seabird Chapter,Nitrogen limitation in land and in the sea- how can it occur?,"Vitousek, P.M.",1991,No,,,,,,,,,,,,,,,,,
Mulder,Nitrogen limitation on land and in the sea: How can it occur?,"Vitousek, P.M. and R.W. Howarth",1991,No,,,,,,,,,,,,,,,,,
Subalusky,Nutrient additions by waterfowl to lakes and reservoirs: predicting their effects on productivity and water quality,Manny et al.,1994,Yes,,"Waterfowl droppings (C, N, P)",Bird,"Waterfowl (geese, ducks)",Biotic,Lake,No,Terrestrial - Freshwater,Humid continental,No,North America,United States,"42.4, -85.5",Yes,1969,1972,FL
Subalusky,Nutrient and light availability regulate the relative contribution of autotrophs and heterotrophs to respiration in freshwater pelagic ecosystems.,Roberts and Howarth,2006,Yes,,No relation to subsidies (how nutrient/light availability affects auto/heterotroph production),,,,,,,,,,,,,,,FL
Mulder,Nutrient Cycling and Limitation - Hawaii as a Model System,"Vitousek, P.M.",2004,Cannot access online,,,,,,,,,,,,,,,,,
Subalusky,"Nutrient cycling at the landscape scale: The role of diel foraging migrations by geese at the Bosque del Apache National Wildlife Refuge, New Mexico",Kitchell et al.,1999,Yes,,"White goose wintering/migration (N, P)",Bird,"White geese (95% lesser snow goose, 5% Ross's goose)",Biotic,Pond,No,Terrestrial - Freshwater,Mild semi-arid continental,No,North America,United States,"33.9, -106.8",Yes,1995,1996,FL
Subalusky,Nutrient cycling by animals in freshwater ecosystems,Vanni,2002,Cannot access paper,,,,,,,,,,,,,,,,,FL
MacInturf,Nutrient exchanges between marine and terrestrial ecosystems: the case of the Galapagos sea lion Zalophus wollebaecki,Fariña et al.,2003,Yes,,"Nitrogen, Carbon",Mammal(Sea Lions),Z. wollebaecki,Biotic,Plants/Soil,No,Marine - Terrestrial,Arid Tropical Island,No,South America,Galapagos Archipelago,"-0°9538, -90.9656",Yes,2001,2002,JB
Subalusky,Nutrient Excretion Rates of Anadromous Alewives during Their Spawning Migration,Post and Walters,2009,Yes,fish derived,"Anadromous alewives excretion (N, P)",Fish,Alewife,Biotic,Lake,No,Marine - Freshwater,Humid subtropical,No,North America,United States,"41.3, -72.2",Yes,2004,"2005, 2008",FL
Subalusky,Nutrient export from freshwater ecosystems by anadromous sockeye salmon (Oncorhynchus nerka).,Moore and Schindler,2004,Yes,,"Sockeye salmon returning to ocean (N, P)",Fish,Sockeye salmon,Biotic,Ocean,No,Freshwater - Marine,Subarctic,No,North America,United States,"58, -158",No,Unspecified,Unspecified,FL
Mulder,Nutrient fluxes from water to land: Seabirds affect plant nutrient status on Gulf of California Islands,"Anderson, W.B. and G.A. Polis",1999,Yes,seabird guano,N and P,Seabirds,Unspecified,Biotic,Soil,No,Marine - Terrestrial,Mediterranean/arid,Yes,North America,Mexico,"28.916667, -113.500000",No,1995,1997,KH
Subalusky,Nutrient fluxes from water to land: seabirds affect plant nutrient status on Gulf of California islands,Anderson and Polis,1998,Yes,,Seabird guano (N and P),Bird,Several species of seabird,Biotic,Soil,,Marine - Terrestrial,Desert,No,North America,Mexico,"28.92, -113.6",Yes,1995,<1999,FL
MacInturf,Nutrient fluxes from water to land: seabirds affect plant nutrient status on Gulf of California islands,"Anderson, Polis",1999,Yes,,"Seabird Guano(Nitrogen, Phosphorus)",Seabirds,"Gulls, cormorants, boobies, terns, herons, pelicans, frigates, oystercatcher, osprey",Biotic,Soil,Yes,Marine - Terrestrial,Desert Islands,No,North America,Mexico,"28.55, -113.30",Yes,1995,1997,JB
Mulder,Nutrient inputs from seabirrds and humans on a populated coral cay,"Staunton Smith, J. and C.R. Johnson",1995,Yes,,"Guano (N, P)",Seabirds,Unspecified,Biotic,"Coral reefs, Atmosphere",Yes,Marine - Terrestrial,Subtropical,No,Oceania,Australia,"-23.450000, 151.916667",No,1992,1992,KH
Mulder,Nutrient inputs from seabirrds and humans on a populated coral cay,"Staunton Smith, J. and C.R. Johnson",1995,Yes,,Sewage,Humans,Unspecified,Biotic,Coral reefs,Yes,Marine - Terrestrial,,No,Oceania,Austrialia,"-23.450000, 151.916667",No,1992,1992,KH
Subalusky,Nutrient loading by anadromous alewife (Alosa pseudoharengus): contemporary patterns and predictions for restoration efforts.,West et al,2010,Yes,fish derived,Anadromous Fish Excretions(Phosphorus),fish,Alewife,Biotic,Lake habitat,No,Marine - Freshwater,Temperate,No,North America,USA,"41.326466, -72.237504",Yes,2005,2007,JB
Subalusky,Nutrient loading by anadromous fishes: species-specific contributions and the effects of diversity.,Twining et al,2017,No,,,,,,,,,,,,,,,,,FL
MacInturf,Nutrient subsidies delivered by seabirds to mangrove islands,Adame et al.,2015,Yes,,"Isotopic Concentration(13C, 15N)",Seabirds,Unspecified,Biotic,Mangrove Leaves,No,Marine - Terrestrial,Warm Semi-arid,No,North America,Mexico,"20.45, -90.21",Yes,2011,2012,JB
MacInturf,Nutrient subsidies delivered by seabirds to mangrove islands,Adame et al.,2015,Yes,,"Salt, Organic Matter, Phosphorus, Nitrogen, Carbon",Seabirds,Unspecified,Biotic,Soil,No,Marine - Terrestrial,Warm Semi-arid,No,North America,Mexico,"20.45, -90.20",Yes,2011,2012,JB
Subalusky,Nutrient Subsidies from Iteroparous Fish Migrations Can Enhance Stream Productivity,Childress et al.,2014,Yes,,"Suckers (Catostomidae) (N, P)",Iteroparous fish,Suckers (Catostomidae),Biotic,Caddisflies insects,Yes,Freshwater - Freshwater,Humid continental,No,North America,United States,"45.7, -86.9 and 45.8, -86.8",Yes,2009,2009,FL
Subalusky,Nutrient Subsidies from Iteroparous Fish Migrations Can Enhance Stream Productivity,Childress et al.,2014,Yes,,"Suckers (Catostomidae) (N, P)",Iteroparous fish,Suckers (Catostomidae),Biotic,Stream algae,,Freshwater - Freshwater,Humid continental,No,North America,United States,"45.7, -86.9 and 45.8, -86.9",Yes,2009,2009,FL
Subalusky,Nutrient Subsidies from Iteroparous Fish Migrations Can Enhance Stream Productivity,Childress et al.,2014,Yes,,"Suckers (Catostomidae) (N, P)",Iteroparous fish,Suckers (Catostomidae),Biotic,Stream,,Freshwater - Freshwater,Humid continental,No,North America,United States,"45.7, -86.9 and 45.8, -86.10",Yes,2009,2009,FL
Mulder,"Nutrient supply, nutrient demand, and plant rersponse to mycorrhizal infection","Koide, R.T.",1991,No,,,,,,,,,,,,,,,,,
MacInturf,Nutrient transfer from sea to land: the case of gulls and cormorants in the Gulf of Maine,Ellis et al.,2006,Yes,,"Isotopic Composition(15N, 13C)",Seabirds,Gull,Biotic,Plants,Yes,Marine - Terrestrial,,,,,,,,,
MacInturf,Nutrient transfer from sea to land: the case of gulls and cormorants in the Gulf of Maine,Ellis et al.,2006,Yes,,"Isotopic Composition(15N, 13C)",Seabirds,Cormorant,Biotic,Plants,Yes,Marine - Terrestrial,,,,,,,,,
MacInturf,Nutrient transfer from sea to land: the case of gulls and cormorants in the Gulf of Maine,Ellis et al.,2006,Yes,,"Soil Nutrients(Ammonia, nitrate, phosphate)",Seabirds,Gull,Biotic,Beach Soil,Yes,Marine - Terrestrial,Temperate-Oceanic,No,North America,USA,"42.988, -70.6135",Yes,2002,2003,JB
MacInturf,Nutrient transfer from sea to land: the case of gulls and cormorants in the Gulf of Maine,Ellis et al.,2006,Yes,,"Soil Nutrients(Ammonia, nitrate, phosphate)",Seabirds,Cormorant,Biotic,Beach Soil,Yes,Marine - Terrestrial,,,,,,,,,
Subalusky,Nutrient Vectors and Riparian Processing: A Review with Special Reference to African Semiarid Savanna Ecosystems,Jacobs et al.,2007,No,,,,,,,,,,,,,,,,,FL
Subalusky,Nutritional constraints in terrestrial and freshwater food webs,Elser et al.,2000,No,,,,,,,,,,,,,,,,,FL
Subalusky,"Observations of wildebeest, Connochaetes taurinus (Artiodactyla, Bovidae), crossing Lake Masek (Serengeti ecosystem, Tanzania), including one small drowning.",Capaldo and Peters,1996,No,,,,,,,,,,,,,,,,,FL
Subalusky,"Of mice, mastodons and men: human-mediated extinctions on four continents",Lyons et al.,2004,No,,,,,,,,,,,,,,,,,FL
Seabird Chapter,"Oh the locusts sang, then they dropped dead","Ostfeld, R.S. and F. Keesing",2004,No,,,,,,,,,,,,,,,,,
