Common Name,County,City,Locality Detail,Latitude,Latitude Units,Latitude Actual/Estimate,Longitude,Longitude Units,Longitude Actual/Estimate,How lat/long determined,Restrand,Group Event Flag,Group Type: UME,Findings of Human Interaction,Boat Collision,Shot,Fishery Interaction,SW Fishery Type,Other Human Interaction,Other Human Int Description,SW Other Human Int Type,How Determined: External Exam,How Determined: Internal Exam,How Determined: Necropsy,How Determined: Other,How Determined: Describe,Other Findings upon Level Y/N,Other Findings - Illness,Other Findings - Injury,Other Findings - Pregnant,Other Findings - Other,Other Findings - Descibe,SW Other Findings Type,Observation Date,How Observed,Observation Status,Date of Examination,Condition at Examination,Left at Site,Immediate Release at Site,Relocated,Disentangled,Euthanized at Site,Died at Site,Transfer to Rehab,Date of Initial Disposition,Rehab Facility Name,Died During Transport,Euthanized During Transport,Other,Other Describe,Sick,Injured,Out of Habitat,Deemed Healthy/Releasable,Abandoned/Orphaned,Inaccesible,Location Hazardous to Animal,Location Hazardous Public,Unknown/CBD,Condition Other,Condition Other Description,Condition Comments,Sex,Age Class,Whole Carcass,Partial Carcass,Length,Length Units,Length actual/estimate,Weight,Weight Units,Weight actual/estimate,Carcass Left at Site,Carcass Buried,Carcass Rendered,Carcass Towed,Carcass Sunk,Carcass Sunk Lattitude,Carcass Sunk Longitude,Carcass Frozen for Later Exam,Carcass Landfill,Carcass Unknown,Carcass Other,Carcass Other Description,Other Collection Comments,Necropsied,Necropsy Limited Flag,Date of Necropsy,Additional Remarks
"Sea lion, California",Santa Barbara,SANTA BARBARA,HOPE RANCH BEACH ON TOP OF SHED,34.4147,decimal degrees,actual,-119.7797,decimal degrees,actual,GPS,,,,N,,,,,,,,,,,,,,,,,,,,4/27/18,Beach or Land,Alive,4/27/18,Alive,,,,,,,Y,,Channel Islands Marine and Wildlife Institute,,,,,,,,,,,Y,,,Y,"THIN, LETHARGIC",,MALE,PUP/CALF,,,37,in,actual,35.5,lb,actual,,,,,,,,,,,,,,N,,,
"Sea lion, California",Santa Barbara,CARPINTERIA,BATES BEACH,34.3849,decimal degrees,actual,-119.4995,decimal degrees,actual,GPS,,,,N,,,,,,,,,,,,,,,,,,,,5/2/18,Beach or Land,Alive,5/2/18,Alive,,,,,,,Y,,Channel Islands Marine and Wildlife Institute,,,,,Y,Y,,,,,,,,,,,MALE,PUP/CALF,,,44,in,actual,42.5,lb,actual,,,,,,,,,,,,,,N,,,
"Sea lion, California",Santa Barbara,GOLETA,ELLWOOD OIL PIER,34.4298,decimal degrees,actual,-119.9246,decimal degrees,actual,GPS,,,,N,,,,,,,,,,,,,,,,,,,,5/3/18,Beach or Land,Alive,5/3/18,Alive,,,,,,,Y,,Channel Islands Marine and Wildlife Institute,,,,,,,,,,,,,,Y,"EMACIATED, LETHARGIC",,MALE,PUP/CALF,,,33,in,actual,28.5,lb,actual,,,,,,,,,,,,,,N,,,
"Sea lion, California",Santa Barbara,SANTA BARBARA,"POINT CASTILLO, END OF BREAKWATER SANTA BARBARA HARBOR",34.4048,decimal degrees,actual,-119.6877,decimal degrees,actual,GPS,,,,N,,,,,,,,,,,,,,,,,,,,5/6/18,Beach or Land,Alive,5/7/18,Alive,,,,,,,Y,,Channel Islands Marine and Wildlife Institute,,,,,,Y,,,,,,,,Y,"THIN, LETHARGIC, FISH HOOK IN FLIPPER",,FEMALE,PUP/CALF,,,35.5,in,actual,20.5,lb,actual,,,,,,,,,,,,,,N,,,
"Sea lion, California",Santa Barbara,CARPINTERIA,CARPINTERIA STATE BEACH,34.392,decimal degrees,actual,-119.5229,decimal degrees,actual,GPS,,,,N,,,,,,,,,,,,,,,,,,,,5/8/18,Beach or Land,Alive,5/8/18,Alive,,,,,,,Y,,Channel Islands Marine and Wildlife Institute,,,,,,,,,,,,,,Y,"THIN, UNRESPONSIVE",,MALE,PUP/CALF,,,41,in,actual,30,lb,actual,,,,,,,,,,,,,,N,,,
"Sea lion, California",Santa Barbara,ISLA VISTA,ISLA VISTA BEACH,34.4091,decimal degrees,actual,-119.8692,decimal degrees,actual,GPS,,,,N,,,,,,,,,,,,,,,,,,,,5/8/18,Beach or Land,Alive,5/8/18,Alive,,,,,,,Y,,Channel Islands Marine and Wildlife Institute,,,,,,,,,,,,,,Y,"THIN, LETHARGIC",,FEMALE,PUP/CALF,,,38,in,actual,29,lb,actual,,,,,,,,,,,,,,N,,,
"Sea lion, California",Santa Barbara,GOLETA,ELLWOOD OIL PIER,34.4299,decimal degrees,actual,-119.9246,decimal degrees,actual,GPS,,,,N,,,,,,,,,,,,,,,,,,,,5/8/18,Beach or Land,Alive,5/8/18,Alive,,,,,,,Y,,Channel Islands Marine and Wildlife Institute,,,,,,,,,,,,,,Y,"THIN, UNRESPONSIVE",,FEMALE,PUP/CALF,,,43,in,actual,33.5,lb,actual,,,,,,,,,,,,,,N,,,
"Sea lion, California",Santa Barbara,CARPINTERIA,CARPINTERIA STATE BEACH,34.3881,decimal degrees,actual,-119.5166,decimal degrees,actual,GPS,,,,N,,,,,,,,,,,,,,,,,,,,5/10/18,Beach or Land,Alive,5/11/18,Alive,,,,,,,Y,,Channel Islands Marine and Wildlife Institute,,,,,,,,,,,,,,Y,"THIN, LETHARGIC",,FEMALE,PUP/CALF,,,36,in,actual,31.5,,actual,,,,,,,,,,,,,,N,,,
"Sea lion, California",Santa Barbara,Santa Barbara,Fernald Point,34.418488,decimal degrees,actual,-119.621225,decimal degrees,actual,GPS,,,,N,,,,,,,,,,,,,,,,,,,,5/12/18,Beach or Land,Alive,5/12/18,Alive,,,,,,,Y,,Channel Islands Marine and Wildlife Institute,,,,,Y,,,,,,,,,,,,FEMALE,PUP/CALF,Y,,37,in,actual,32,lb,actual,,,,,,,,,,,,,,N,,,
"Sea lion, California",Santa Barbara,SANTA BARBARA,PADARO LANE,34.3971,decimal degrees,actual,-119.5388,decimal degrees,actual,GPS,,,,N,,,,,N,,,,,,,,,,,,,,,5/12/18,Beach or Land,Alive,5/12/18,Alive,,,,,,,Y,,Channel Islands Marine and Wildlife Institute,,,,,Y,,,,,,,,,Y,"EMACIATED, LETHARGIC",,FEMALE,PUP/CALF,,,35,in,actual,19.5,lb,actual,,,,,,,,,,,,,,N,,,
"Sea lion, California",Santa Barbara,SANTA BARBARA,SANTA BARBARA HARBOR,34.4048,decimal degrees,,-119.6877,decimal degrees,,GPS,,,,N,,,,,,,,,,,,,,,,,,,,5/16/18,Beach or Land,Alive,5/17/18,Alive,,,,,,,Y,,Channel Islands Marine and Wildlife Institute,,,,,,Y,,,,,,,,Y,"LETHARGIC,FISHING LINE AROUND NECK",,FEMALE,PUP/CALF,Y,,41,in,actual,38.5,lb,actual,,,,,,,,,,,,,,N,,,
"Sea lion, California",Santa Barbara,SANTA BARBARA,SANTA BARBARA HARBOR MARINA 2,34.405,decimal degrees,actual,-119.6942,decimal degrees,actual,GPS,,,,N,,,,,,,,,,,,,,,,,,,,5/17/18,Beach or Land,Alive,5/19/18,Alive,,,,,,,Y,,Channel Islands Marine and Wildlife Institute,,,,,,Y,,,,,,,,Y,THIN LETHARGIC,,MALE,PUP/CALF,,,44.5,in,actual,50,lb,actual,,,,,,,,,,,,,,N,,,
"Sea lion, California",Santa Barbara,GOLETA,ELLWOOD PIER,34.4298,decimal degrees,actual,-119.9298,decimal degrees,actual,GPS,,,,N,,,,,,,,,,,,,,,,,,,,5/20/18,Beach or Land,Alive,5/20/18,Alive,,,,,,,Y,,Channel Islands Marine and Wildlife Institute,,,,,,,,,,,,,,Y,THIN LETHARGIC,,MALE,PUP/CALF,,,32,in,actual,21,lb,actual,,,,,,,,,,,,,,N,,,
"Sea lion, California",Santa Barbara,SANTA BARBARA,BUTTERFLY BEACH,34.4178,decimal degrees,actual,-119.648,decimal degrees,actual,GPS,,,,N,,,,,,,,,,,,,,,,,,,,5/20/18,Beach or Land,Alive,5/20/18,Alive,,,,,,,Y,,Channel Islands Marine and Wildlife Institute,,,,,,,,,,,,,,Y,"THIN, LETHARGIC",,MALE,PUP/CALF,,,40,in,actual,39,lb,actual,,,,,,,,,,,,,,N,,,
"Sea lion, California",Santa Barbara,GOLETA,REFUGIO POINT,34.4605,decimal degrees,actual,-120.0757,decimal degrees,actual,GPS,,,,N,,,,,,,,,,,,,,,,,,,,5/22/18,Beach or Land,Alive,5/22/18,Alive,,,,,,,Y,,Channel Islands Marine and Wildlife Institute,,,,,,,,,,,,,,Y,"THIN, LETHARGIC",,MALE,PUP/CALF,,,43,in,actual,43.5,lb,actual,,,,,,,,,,,,,,N,,,
"Sea lion, California",Santa Barbara,SANTA BARBARA,STEARNS WHARF,34.4116,decimal degrees,actual,-119.6886,decimal degrees,actual,GPS,,,,N,,,,,,,,,,,,,,,,,,,,5/24/18,Beach or Land,Alive,5/25/18,Alive,,,,,,,Y,,Channel Islands Marine and Wildlife Institute,,,,,,Y,,,,,,,,Y,"THIN, LETHARGIC",,MALE,PUP/CALF,,,41,in,actual,44,lb,actual,,,,,,,,,,,,,,N,,,"WOUND ON LEFT HIND FLIPPER, CAUSE UNKNOWN"
"Sea lion, California",Santa Barbara,SANTA BARBARA,SHORELINE PARK STEPS,34.396,decimal degrees,actual,-119.70773,decimal degrees,actual,GPS,,,,N,,,,,,,,,,,,,,,,,,,,5/29/18,Beach or Land,Alive,5/31/18,Alive,,,,,,,Y,,Channel Islands Marine and Wildlife Institute,,,,,,Y,,,,,,,,Y,"THIN, LETHARGIC",,MALE,PUP/CALF,,,41,in,actual,44.5,lb,actual,,,,,,,,,,,,,,N,,,"MULTIPLE LACERATIONS ON SIDE, UNKNOWN CAUSE"
"Sea lion, California",Santa Barbara,Summerland,Summerland Beach,34.41763,decimal degrees,actual,-119.59154,decimal degrees,actual,GPS,,,,CBD,,,,,,,,,,,,,,,,,,,,6/4/18,Beach or Land,Mummified/Skeletal,6/4/18,Mummified/Skeletal,,,,,,,,,,,,,,,,,,,,,,,,,,UNKNOWN,PUP/CALF,,Y,22,in,actual,25,lb,estimate,Y,,,,,,,,,,,,,N,,,
"Sea lion, California",Santa Barbara,GOLETA,REFUGIO BEACH,34.460488,decimal degrees,actual,-120.074078,decimal degrees,actual,GPS,,,,N,,,,,,,,,,,,,,,,,,,,6/4/18,Beach or Land,Alive,6/4/18,Alive,,,,,,,Y,,Channel Islands Marine and Wildlife Institute,,,,,,,,,,,,,,Y,"THIN, LETHARGIC",,MALE,PUP/CALF,,,40,in,actual,34.5,lb,actual,,,,,,,,,,,,,,N,,,
"Sea lion, California",Santa Barbara,Goleta,Hope Ranch Beach,34.41706,decimal degrees,estimate,-119.77404,decimal degrees,estimate,Map,,,,N,,,,,,,,,,,,,,,,,,,,6/27/18,Beach or Land,Advanced Decomposition,6/27/18,,,,,,,,,,,,,,,,,,,,,,,,,,,UNKNOWN,PUP/CALF,,,76.2,cm,estimate,12.71,kg,estimate,Y,,,,,,,,,,,,,N,,,
"Sea lion, California",Santa Barbara,Santa Barbara,Leadbetter Beach,34.40025,decimal degrees,estimate,-119.70172,decimal degrees,estimate,Map,,,,N,,,,,,,,,,,,,,,,,,,,6/29/18,Beach or Land,Advanced Decomposition,6/29/18,,,,,,,,,,,,,,,,,,,,,,,,,,,UNKNOWN,PUP/CALF,,,81.28,cm,estimate,13.62,kg,estimate,Y,,,,,,,,,,,,,N,,,
"Sea lion, California",Santa Barbara,Goleta,Hope Ranch Beach,34.41424,decimal degrees,actual,-119.779713,decimal degrees,actual,GPS,,,,N,,,,,,,,,,,,,,,,,,,,11/20/18,Beach or Land,Alive,11/20/18,Alive,,,,,,,Y,,Channel Islands Marine and Wildlife Institute,,,,,Y,,,,,,,,,,,,FEMALE,PUP/CALF,Y,,36,in,actual,24.5,lb,actual,,,,,,,,,,,,,,N,,,Calls received for small seal on Hope Ranch. CIMWI volunteer arrived to find emaciated CSL pup-spine/hips visible.
"Sea lion, California",Santa Barbara,Carpinteria,Carpinteria SB,34.396257,decimal degrees,actual,-119.536645,decimal degrees,actual,GPS,,,,N,,,,,,,,,,,,,,,,,,,,11/22/18,Beach or Land,Alive,11/23/18,Alive,Y,,,,,,Y,,Channel Islands Marine and Wildlife Institute,,,,,Y,,,,,,,,,,,,MALE,PUP/CALF,,,86.4,cm,actual,11.5,kg,actual,,,,,,,,,,,,,,N,,,"11/22/18 Call received of small CSL in distress. CSL is lethargic,emaciated. Will have to attempt rescue in am as CSL is high up on a rock and it is sunset,light fading. 11/23/18 CSL was gone this am. Call received later of CSL in distress in rocks at Mussel Shoals. Volunteer located same CSL from yesterday. Rescued and transported to rehab facility."
"Sea lion, California",Santa Barbara,Santa Barbara,"Santa Barbara Harbor, Marina 2",,decimal degrees,,,decimal degrees,,,,,,N,,,,,,,,,,,,,,,,,,,,11/24/18,Beach or Land,Alive,11/24/18,Alive,,,,,,,Y,,Channel Islands Marine and Wildlife Institute,,,,,Y,,,,,,,,,,,,FEMALE,PUP/CALF,Y,,35,in,actual,25,lb,actual,,,,,,,,,,,,,,N,,,Numerous calls received for baby seal at SB Harbor near breakwater. Found emaciated and trying to climb wall onto bike path at Marina 2.
"Sea lion, California",Santa Barbara,Santa Barbara,Santa Barbara Harbor,34.4038,decimal degrees,actual,-119.6938,decimal degrees,actual,GPS,,,,N,,,,,,,,,,,,,,,,,,,,12/20/18,Beach or Land,Alive,12/21/18,Alive,,,,,,,Y,,Channel Islands Marine and Wildlife Institute,,,,,Y,,,,,,,,,,,,FEMALE,PUP/CALF,Y,,36,in,actual,23,lb,actual,,,,,,,,,,,,,,N,,,"Initially reported on dock at Marina 2, when volunteer arrived animal went back in water. Later animal was rescued off boat by Santa Barbara Harbor Patrol and transferred to CIMWI rehab facility the following morning."
"Sea lion, California",Santa Barbara,Santa Barbara,Shoreline Park,34.399206,decimal degrees,actual,-119.70221,decimal degrees,actual,GPS,,,,N,,,,,,,,,,,,,,,,,,,,12/23/18,Beach or Land,Alive,12/24/18,,,,,,,,Y,,Channel Islands Marine and Wildlife Institute,,,,,Y,,,,,,,,,,,,MALE,PUP/CALF,Y,,39,in,actual,30,lb,actual,,,,,,,,,,,,,,N,,,volunteer found at bottom of cliff at Water
"Sea lion, California",Santa Barbara,Goleta,Haskell's Beach in front of Ritz Carlton,34.431876,decimal degrees,actual,-119.418272,decimal degrees,actual,GPS,,,,N,,,,,,,,,,,,,,,,,,,,1/18/19,Beach or Land,Alive,1/20/19,Alive,,,,,,,Y,,Channel Islands Marine and Wildlife Institute,,,,,Y,,,,,,,,,,,,MALE,PUP/CALF,Y,,35,in,actual,25,lb,actual,,,,,,,,,,,,,,Y,limited,1/21/19,"Multiple reports on animal over three day period, first attempt at rescue animal returned to water."
"Sea lion, California",Santa Barbara,Montecito,Between Butterfly Beach and Cemetery Beach,34.417098,decimal degrees,actual,-119.651859,decimal degrees,actual,GPS,,,,N,,,,,,,,,,,,,,,,,,,,1/30/19,Beach or Land,Alive,1/30/19,Alive,,,,,,,Y,,Channel Islands Marine and Wildlife Institute,,,,,Y,,,,,,,,,,,,MALE,PUP/CALF,Y,,38.5,in,actual,36,lb,actual,,,,,,,,,,,,,,N,,,
"Sea lion, California",Santa Barbara,Santa Barbara,"Alamar Hotel, Cabrillo Blvd",34.4111834,decimal degrees,estimate,-119.6908593,decimal degrees,estimate,GPS,Y,,,N,,,,,,,,,,,,,,,,,,,,1/30/19,Beach or Land,Alive,1/30/19,Alive,,,,,,,Y,,Channel Islands Marine and Wildlife Institute,,,,,,,Y,,,,Y,Y,,,,,FEMALE,PUP/CALF,Y,,94,cm,actual,15.2,kg,actual,,,,,,,,,,,,,,N,,,
"Sea lion, California",Santa Barbara,Santa Barbara,Santa Barbara Harbor at breakwater,34.403317,decimal degrees,actual,-119.691274,decimal degrees,actual,GPS,,,,N,,,,,,,,,,,,,,,,,,,,3/1/19,Beach or Land,Alive,3/1/19,Alive,,,,,,,Y,,Channel Islands Marine and Wildlife Institute,,,,,Y,,,,,,,,,,,,FEMALE,PUP/CALF,Y,,39.5,in,actual,30,lb,actual,,,,,,,,,,,,,,N,,,"Three calls received on small, sick, emaciated, shivering CSL on rock 1/4 down breakwater in harbor. Volunteers arrived and found emaciated, shivering CSL pup. Pup rescued and transferred to rehab facility."
"Sea lion, California",Santa Barbara,Montecito,Butterfly Beach,34.41697,decimal degrees,actual,-119.65487,decimal degrees,actual,GPS,,,,N,,,,,,,,,,,,,,,,,,,,3/3/19,Beach or Land,Alive,3/3/19,Alive,,,,,,,Y,,Channel Islands Marine and Wildlife Institute,,,,,Y,,,,,,,,,,,,MALE,PUP/CALF,Y,,40,in,actual,30,lb,actual,,,,,,,,,,,,,,N,,,"Three calls received on thin CSL pup in distress under SB Cemetary, between Butterfly Beach and East Beach. Volunteers arrived to find thin, but alert CSL pup on rocks, rescued and transferred to rehab facility."
"Sea lion, California",Santa Barbara,Santa Barbara,Bacara Beach,34.429796,decimal degrees,actual,-119.914404,decimal degrees,actual,GPS,,,,N,,,,,,,,,,,,,,,,,,,,3/5/19,Beach or Land,Alive,3/5/19,Alive,,,,,,,Y,,Channel Islands Marine and Wildlife Institute,,,,,Y,,,,,,,,,,,,FEMALE,PUP/CALF,Y,,38,in,actual,29,lb,actual,,,,,,,,,,,,,,N,,,"Call received on small CSL 200-300 yards S of Snack Bar. Volunteers arrived to find an emaciated pup, rescued and transferred to rehab facility."
"Sea lion, California",Santa Barbara,Santa Barbara,Leadbetter Beach,34.403853,decimal degrees,actual,-119.696736,decimal degrees,actual,GPS,,,,CBD,,,,,,,,,,,,,,,,,,,,3/26/19,Beach or Land,Fresh Dead,3/26/19,Fresh Dead,,,,,,,,,,,,,,,,,,,,,,,,,,UNKNOWN,PUP/CALF,Y,,106.7,cm,estimate,18.1,kg,estimate,Y,,,,,,,,,,,,,N,,,
"Sea lion, California",Santa Barbara,Goleta,Hope Ranch Beach,34.4133076,decimal degrees,actual,-119.7769876,decimal degrees,actual,GPS,,,,N,,,,,,,,,,,,,,,,,,,,4/17/19,Beach or Land,Alive,4/17/19,Alive,,,,,,,Y,,Channel Islands Marine and Wildlife Institute,,,,,Y,Y,,,,,,,,,,,FEMALE,PUP/CALF,Y,,92.7,cm,actual,10.9,kg,actual,,,,,,,,,,,,,,N,,,Rescued due to being very thin and having swollen hind flippers. Transferred to rehabilitation.
"Sea lion, California",Santa Barbara,Santa Barbara,Santa Barbara Harbor - Sandspit,34.407297,decimal degrees,actual,-119.688009,decimal degrees,actual,GPS,,,,CBD,,,,,,,,,,,,,,,,,,,,4/20/19,Beach or Land,Alive,4/20/19,Alive,,,,,,,Y,,Channel Islands Marine and Wildlife Institute,,,,,Y,Y,,,,,,,,,,,MALE,PUP/CALF,Y,,91.4,cm,actual,13.1,kg,actual,,,,,,,,,,,,,,N,,,"Rescued due to being very thin and having cut on neck, transferred to rehabilitation."
"Sea lion, California",Santa Barbara,Santa Barbara,East Beach,34.415269,decimal degrees,actual,-119.676806,decimal degrees,actual,GPS,,,,N,,,,,,,,,,,,,,,,,,,,4/20/19,Beach or Land,Fresh Dead,4/20/19,Fresh Dead,,,,,,,,,,,,,,,,,,,,,,,,,,UNKNOWN,PUP/CALF,Y,,109,cm,actual,20.4,kg,estimate,Y,,,,,,,,,,,,,N,,,
"Sea lion, California",Santa Barbara,Santa Barbara,More Mesa Beach,34.416891,decimal degrees,actual,-119.806513,decimal degrees,actual,GPS,,,,N,,,,,,,,,,,,,,,,,,,,4/27/19,Beach or Land,Alive,4/27/19,Alive,,,,,,,Y,,Channel Islands Marine and Wildlife Institute,,,,,Y,,,,,,,,,,,,MALE,PUP/CALF,Y,,104.1,cm,actual,18.1,kg,actual,,,,,,,,,,,,,,N,,,"CSL rescued due to being thin,lethargic, and mucus around mouth, transferred to rehabilitation."
"Sea lion, California",Santa Barbara,Santa Barbara,1000 Steps Beach,34.3956384,decimal degrees,actual,-119.723381,decimal degrees,actual,GPS,,,,N,,,,,,,,,,,,,,,,,,,,4/27/19,Beach or Land,Alive,4/27/19,Alive,,,,,,,Y,,Channel Islands Marine and Wildlife Institute,,,,,Y,,,,,,,,,,,,FEMALE,PUP/CALF,Y,,104.1,cm,actual,15.4,kg,actual,,,,,,,,,,,,,,N,,,"CSL rescued due to being thin and unresponsive, transferred to rehabilitation."
"Sea lion, California",Santa Barbara,Santa Barbara,More Mesa beach,34.416891,decimal degrees,actual,-119.805033,decimal degrees,actual,GPS,,,,N,,,,,,,,,,,,,,,,,,,,4/27/19,Beach or Land,Alive,4/27/19,Alive,,,,,,,Y,,Channel Islands Marine and Wildlife Institute,,,,,Y,,,,,,,,,,,,FEMALE,PUP/CALF,Y,,99,cm,actual,13.1,kg,actual,,,,,,,,,,,,,,N,,,"CSL rescued due being thin, lethargic, and observed head wobbling, transferred to rehabilitation."
"Sea lion, California",Santa Barbara,Santa Barbara,Hendry's/Hope Ranch Beach - 1/4 mile W of Blue House,34.4089556,decimal degrees,actual,-119.7644758,decimal degrees,actual,GPS,,,,N,,,,,,,,,,,,,,,,,,,,4/30/19,Beach or Land,Alive,4/30/19,Alive,,,,,,,Y,,Channel Islands Marine and Wildlife Institute,,,,,Y,,,,,,,,,,,,MALE,PUP/CALF,Y,,99,cm,actual,16.8,kg,actual,,,,,,,,,,,,,,N,,,"Rescued due to being underweight and lethargic, transferred to rehabilitation."
"Sea lion, California",Santa Barbara,Santa Barbara,Leadbetter Point,34.3968496,decimal degrees,actual,-119.7047769,decimal degrees,actual,GPS,,,,N,,,,,,,,,,,,,,,,,,,,4/30/19,Beach or Land,Alive,4/30/19,Alive,,,,,,,Y,,Channel Islands Marine and Wildlife Institute,,,,,Y,,,,,,,,,,,,MALE,PUP/CALF,Y,,102.8,cm,actual,20.4,kg,actual,,,,,,,,,,,,,,N,,,"Rescued to to being thin and unresponsive, transferred to rehabilitation."
"Sea lion, California",Santa Barbara,Goleta,East Goleta Beach,34.4170316,decimal degrees,actual,-119.814855,decimal degrees,actual,GPS,,,,N,,,,,,,,,,,,,,,,,,,,5/1/19,Beach or Land,Alive,5/1/19,Alive,,,,,,,Y,,Channel Islands Marine and Wildlife Institute,,,,,Y,,,,,,,,,,,,FEMALE,PUP/CALF,Y,,94,cm,actual,10.9,kg,actual,,,,,,,,,,,,,,N,,,"Rescued due to being emaciated and lethargic, transferred to rehabilitation."
"Sea lion, California",Santa Barbara,Santa Barbara,End of Sandspit at Santa Barbara Harbor,34.4077,decimal degrees,actual,-119.6878,decimal degrees,actual,GPS,,,,N,,,,,,,,,,,,,,,,,,,,5/3/19,Beach or Land,Alive,5/3/19,Alive,,,,,,,Y,,Channel Islands Marine and Wildlife Institute,,,,,Y,,,,,,,,,,,,FEMALE,PUP/CALF,Y,,86.3,cm,actual,11.3,kg,actual,,,,,,,,,,,,,,N,,,"Rescued due to being very thin and shivering, transferred to rehabilitation."
"Sea lion, California",Santa Barbara,Carpenteria,Jelly Bowl,34.3867952,decimal degrees,actual,-119.511244,decimal degrees,actual,GPS,,,,N,,,,,,,,,,,,,,,,,,,,5/3/19,Beach or Land,Advanced Decomposition,5/3/19,Advanced Decomposition,,,,,,,,,,,,,,,,,,,,,,,,,,UNKNOWN,PUP/CALF,Y,,83.8,cm,actual,25,kg,estimate,Y,,,,,,,,,,,,,N,,,"Carcass oddly twisted in the middle, shaped like an hour glass."
"Sea lion, California",Santa Barbara,Montecito,Butterfly Beach,34.4168363,decimal degrees,actual,-119.6538142,decimal degrees,actual,GPS,,,,Y,,,Y,,,,,,,,,,,,Y,,,4 cm laceration on leading edge of RFF,,5/4/19,Beach or Land,Fresh Dead,5/4/19,Fresh Dead,,,,,,,,,,,,,,,,,,,,,,,,,,UNKNOWN,PUP/CALF,Y,,106.7,cm,actual,22.7,kg,estimate,Y,,,,,,,,,,,,,N,,,"Pink Monofilament gillnet entangled on head, snout & through mouth."
"Sea lion, California",Santa Barbara,Isla Vista,Isla Vista Beach Stairs at window to Sea Park,34.4088009,decimal degrees,actual,-119.8587531,decimal degrees,actual,GPS,,,,N,,,,,,,,,,,,,,,,,,,,5/6/19,Beach or Land,Alive,5/6/19,Alive,,,,,,,Y,,Channel Islands Marine and Wildlife Institute,,,,,Y,,,,,,,,,,,,MALE,PUP/CALF,Y,,104.1,cm,actual,14.3,kg,actual,,,,,,,,,,,,,,N,,,"CSL pup rescued due to being very thin, and lethargic"
"Sea lion, California",Santa Barbara,Goleta,Goleta Beach Park,34.41693,decimal degrees,actual,-119.815989,decimal degrees,actual,GPS,,,,N,,,,,,,,,,,,,,,,,,,,5/9/19,Beach or Land,Advanced Decomposition,5/9/19,Advanced Decomposition,,,,,,,,,,,,,,,,,,,,,,,,,,UNKNOWN,PUP/CALF,Y,,94,cm,actual,12,kg,estimate,Y,,,,,,,,,,,,,N,,,
"Sea lion, California",Santa Barbara,Isla Vista,Campus Point by wooden stairs,34.411094,decimal degrees,actual,-119.8418126,decimal degrees,actual,GPS,,,,N,,,,,,,,,,,,,,,,,,,,5/10/19,Beach or Land,Alive,5/10/19,Alive,,,,,,,Y,,Channel Islands Marine and Wildlife Institute,,,,,Y,,,,,,,,,,,,MALE,PUP/CALF,Y,,101,cm,actual,16.8,kg,actual,,,,,,,,,,,,,,N,,,CSL pup rescued due to being thin and lethargic. Transferred to rehabilitation facility.
"Sea lion, California",Santa Barbara,Carpinteria,100 yds east of tarpits/Carpinteria State Beach on cliff,34.3871111,decimal degrees,actual,-119.5116672,decimal degrees,actual,GPS,,,,N,,,,,,,,,,,,,,,,,,,,5/10/19,Beach or Land,Alive,5/10/19,Alive,,,,,,,Y,,Channel Islands Marine and Wildlife Institute,,,,,Y,,,,,,,,,,,,MALE,PUP/CALF,Y,,102,cm,actual,14,kg,actual,,,,,,,,,,,,,,N,,,CSL pup rescued due to being emaciated. Transferred to rehabilitation facility.
"Sea lion, California",Santa Barbara,Isla Vista,Campus Point,34.4046992,decimal degrees,actual,-119.8439835,decimal degrees,actual,GPS,,,,N,,,,,,,,,,,,,,,,,,,,5/11/19,Beach or Land,Alive,5/11/19,Alive,,,,,,,Y,,Channel Islands Marine and Wildlife Institute,,,,,Y,,,,,,,,,,,,FEMALE,PUP/CALF,Y,,86.3,cm,actual,11.3,kg,actual,,,,,,,,,,,,,,N,,,CSL pup rescued due to being emaciated and lethargic. Transferred to rehabilitation facility.
"Sea lion, California",Santa Barbara,Santa Barbara,Shoreline Park Beach,34.4032349,decimal degrees,actual,-119.7021529,decimal degrees,actual,GPS,,,,N,,,,,,,,,,,,,,,,,,,,5/13/19,Beach or Land,Alive,5/13/19,Alive,,,,,,,Y,,Channel Islands Marine and Wildlife Institute,,,,,Y,,,,,,,,,,,,MALE,PUP/CALF,Y,,88.4,cm,actual,14.5,kg,actual,,,,,,,,,,,,,,N,,,CSL pup rescued due to being very thin and lethargic. Transferred to rehabilitation facility.
"Sea lion, California",Santa Barbara,Santa Barbara,1787 Fernald Point Lane,34.4201677,decimal degrees,actual,-119.6197,decimal degrees,actual,GPS,,,,N,,,,,,,,,,,,,,,,,,,,5/14/19,Beach or Land,Alive,5/14/19,Alive,,,,,,,Y,,Channel Islands Marine and Wildlife Institute,,,,,Y,,,,,,,,,,,,MALE,PUP/CALF,Y,,91.4,cm,actual,14,kg,actual,,,,,,,,,,,,,,N,,,CSL pup rescued due to being very thin and having masses on chin and throat. Also Out of habitat. Transferred to rehabilitation facility.
